Name,SSN,Salary,Awards,Tax paid,Eligible for Pay raise
Ajay,63300,23445,1,YES,NO
Arun,63301,34577,0,NO,YES
Kumar,63302,67333,4,NO,NO
Janaki,63303,74333,2,YES,NO
Krishna,63304,37004,3,YES,NO
Balram,63305,72333,0,NO,NO
Naidu,63306,62200,3,YES,YES
Karna,63307,16800,1,YES,NO
Rahul,63308,29000,0,YES,YES
Stuart,63309,54083,4,NO,NO
Joey,63310,65220,1,NO,NO
Ross,63311,52244,1,NO,NO
Monica,63312,30099,2,YES,YES
Fletcher,63313,25663,0,NO,NO
John,63314,43889,3,YES,YES
Rebecca,63315,41003,1,YES,NO
Allan,63316,94660,2,NO,YES
Jerome,63317,73992,1,NO,NO
Harshitha,63318,63002,2,YES,YES
Aja,63319,32005,1,YES,YES
Arjun,63320,43877,3,NO,YES
Ram,63321,53309,3,YES,NO
